date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:48	3121/3121	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Sep%202023%2010:22:48%20GMT	https://itsalmo.st/robots.txt		(from )
17:22:48	63601/63601	---M--	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2010:22:47%20GMT	https://itsalmo.st/shins-birthday-kg5l	D:/Website%20copy/Shin/itsalmo.st/shins-birthday-kg5l.html	(from )
17:22:49	36016/36016	---M--	200	added ('OK')	text/css	etag:%22255eb2257d03b5d1b2857a5f69faccbc%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.css	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.css	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:50	3509/3509	---M--	200	added ('OK')	image/png	etag:%223359d3df5262fb753f8e91d6990c910a%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-57x57.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-57x57.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:51	3745/3745	---M--	200	added ('OK')	image/png	etag:%221c53869b26c4df5c474b4429e40f0a52%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-60x60.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-60x60.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:52	4313/4313	---M--	200	added ('OK')	image/png	etag:%22f4c860584cc9736ca704a4b434791d42%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-72x72.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-72x72.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:53	4574/4574	---M--	200	added ('OK')	image/png	etag:%22a8ba958c1b8a4a564ce6b6bb9879eb7b%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-76x76.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-76x76.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:54	6885/6885	---M--	200	added ('OK')	image/png	etag:%22b470ee56507180b3217c09f5469e760d%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-114x114.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-114x114.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:55	7205/7205	---M--	200	added ('OK')	image/png	etag:%22c8ca884e5619e7a780b66150b38adf31%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-120x120.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-120x120.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:56	8798/8798	---M--	200	added ('OK')	image/png	etag:%225deec25e7b6a1e75c9ef93294d865a6f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-144x144.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-144x144.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:57	9418/9418	---M--	200	added ('OK')	image/png	etag:%223685091abc1e63114b7c695186d0ec58%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-152x152.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-152x152.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:22:58	11577/11577	---M--	200	added ('OK')	image/png	etag:%229f8157ac91286791ba9fdea47245019f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-180x180.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-180x180.png	(from https://itsalmo.st/shins-birthday-kg5l)
17:23:00	10064/10064	---M--	200	added ('OK')	image/png	etag:%2295d1bb4c6074f1a78de47ed3de01238a%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/android-icon-192x192.png	D:/Website%20copy/Shin/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/android-icon-192x192.png	(from https://itsalmo.st/shins-birthday-kg5l)
